date;name;surname;type;yearMatter;manufacturer_name;manufacturer_name1;manufacturer_name2;manufacturer_name3;model_name;model_name1;model_name2;model_name3;insurance_provider;notes;input1;input2;input3;input4;input5;input6;input7;input8;input9;input10
2024-08-07;John;Doe;BIRTHDAY;TRUE;Toyota;Honda;Ford;Chevrolet;Corolla;Civic;Focus;Cruze;Geico;Sample note 1;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-08;Jane;Smith;BIRTHDAY;FALSE;Ford;Nissan;Hyundai;Subaru;F-150;Altima;Elantra;Outback;State Farm;Sample note 2;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-09;Alice;Johnson;BIRTHDAY;TRUE;BMW;Audi;Mercedes;Lexus;X5;Q7;GLE;RX;Allstate;Sample note 3;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-10;Bob;Williams;BIRTHDAY;FALSE;Chevrolet;Jeep;Mazda;Kia;Silverado;Cherokee;CX-5;Sportage;Progressive;Sample note 4;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-11;Carol;Brown;BIRTHDAY;TRUE;Volkswagen;Buick;Chrysler;GMC;Jetta;Enclave;Pacifica;Sierra;Farmers;Sample note 5;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-12;Dave;Jones;BIRTHDAY;FALSE;Subaru;Infiniti;Acura;Land Rover;Outback;QX60;MDX;Range Rover;Nationwide;Sample note 6;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-13;Eve;Garcia;BIRTHDAY;TRUE;Hyundai;Toyota;Honda;Mazda;Sonata;Camry;Accord;Mazda3;Liberty Mutual;Sample note 7;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-14;Frank;Martinez;BIRTHDAY;FALSE;Kia;Nissan;Ford;Chevrolet;Soul;Rogue;Escape;Impala;Travelers;Sample note 8;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-15;Grace;Wilson;BIRTHDAY;TRUE;Chevrolet;Toyota;Honda;Subaru;Malibu;Camry;CR-V;Forester;American Family;Sample note 9;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-16;Hank;Moore;BIRTHDAY;FALSE;Audi;BMW;Mercedes;Lexus;A4;328i;C-Class;IS;Esurance;Sample note 10;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-17;Ivy;Taylor;BIRTHDAY;TRUE;Mazda;Subaru;Toyota;Honda;Mazda6;Outback;Camry;Accord;Progressive;Sample note 11;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
